2019-10-30 13:50:42.370; [main]; Enter notification.Application; void notification.Application.addnotif(Notification, Observer)_ID_16863697101; void notification.Application.addnotif(Notification, Observer) 
2019-10-30 13:50:42.380; [main]; Enter notification.Application; void notification.Application.Attach(Observer)_ID_16863697101; void notification.Application.Attach(Observer) 
2019-10-30 13:50:42.381; [main]; notification.Application; void notification.Application.Attach(Observer)_ID_16863697101; void notification.Application.Attach(Observer) 
2019-10-30 13:50:42.383; [main]; Enter notification.Application; void notification.Application.Notify()_ID_16863697101; void notification.Application.Notify() 
2019-10-30 13:50:42.383; [main]; Enter notification.User; void notification.User.update(Application)_ID_16863697101; void notification.User.update(Application) 
2019-10-30 13:50:42.384; [main]; Enter notification.Application; ArrayList notification.Application.getState()_ID_16863697101; ArrayList notification.Application.getState() 
2019-10-30 13:50:42.385; [main]; notification.Application; ArrayList notification.Application.getState()_ID_16863697101; ArrayList notification.Application.getState() 
2019-10-30 13:50:42.386; [main]; Enter notification.User; void notification.User.checknotif(ArrayList)_ID_16863697101; void notification.User.checknotif(ArrayList) 
2019-10-30 13:50:42.386; [main]; notification.User; void notification.User.checknotif(ArrayList)_ID_16863697101; void notification.User.checknotif(ArrayList) 
2019-10-30 13:50:42.387; [main]; notification.User; void notification.User.update(Application)_ID_16863697101; void notification.User.update(Application) 
2019-10-30 13:50:42.387; [main]; notification.Application; void notification.Application.Notify()_ID_16863697101; void notification.Application.Notify() 
2019-10-30 13:50:44.402; [main]; Enter notification.Application; void notification.Application.Deattach(Observer)_ID_16863697101; void notification.Application.Deattach(Observer) 
2019-10-30 13:50:44.403; [main]; notification.Application; void notification.Application.Deattach(Observer)_ID_16863697101; void notification.Application.Deattach(Observer) 
2019-10-30 13:50:44.403; [main]; notification.Application; void notification.Application.addnotif(Notification, Observer)_ID_16863697101; void notification.Application.addnotif(Notification, Observer) 
2019-10-30 13:50:44.404; [main]; Enter notification.Application; void notification.Application.addnotif(Notification, Observer)_ID_16863697102; void notification.Application.addnotif(Notification, Observer) 
2019-10-30 13:50:44.405; [main]; Enter notification.Application; void notification.Application.Attach(Observer)_ID_16863697102; void notification.Application.Attach(Observer) 
2019-10-30 13:50:44.405; [main]; notification.Application; void notification.Application.Attach(Observer)_ID_16863697102; void notification.Application.Attach(Observer) 
2019-10-30 13:50:44.406; [main]; Enter notification.Application; void notification.Application.Notify()_ID_16863697102; void notification.Application.Notify() 
2019-10-30 13:50:44.406; [main]; Enter notification.User; void notification.User.update(Application)_ID_16863697102; void notification.User.update(Application) 
2019-10-30 13:50:44.407; [main]; Enter notification.Application; ArrayList notification.Application.getState()_ID_16863697102; ArrayList notification.Application.getState() 
2019-10-30 13:50:44.407; [main]; notification.Application; ArrayList notification.Application.getState()_ID_16863697102; ArrayList notification.Application.getState() 
2019-10-30 13:50:44.411; [main]; Enter notification.User; void notification.User.checknotif(ArrayList)_ID_16863697102; void notification.User.checknotif(ArrayList) 
2019-10-30 13:50:44.412; [main]; notification.User; void notification.User.checknotif(ArrayList)_ID_16863697102; void notification.User.checknotif(ArrayList) 
